tmk,island,n_cesspools,bedroom_sum,effluent_sum,nitrogen_sum,phosphorus_sum,area_sqm,rainfall_mm,elevation_m,watertable_m,depth_to_water_m,dist_to_coast_m,dist_to_stream_m,dist_to_mun_well_m,dist_to_dom_well_m,in_sma
211003003,MAU,1,3.0,315.0,0.1037388,0.0226556,6589.12181617,107.2834243774414,1.9384790658950806,,,44.63902679589014,393.85057433791377,1760.467296001488,7568.729156669005,1
211003006,MAU,1,2.0,210.0,0.0691563,0.0151031,3005.09142418,111.484130859375,2.4753940105438232,,,49.1735453300186,208.28444819779727,1620.9350308654502,7453.335742361281,1
211003012,MAU,1,2.0,210.0,0.0691563,0.0151031,3609.7050901,111.484130859375,3.7813777923583984,,,76.32820566274864,196.70064144680114,1646.8182676691654,7485.486491832949,1
211003030,MAU,1,3.0,315.0,0.1037388,0.0226556,1122.90248845,119.36798858642578,15.055481910705566,,,321.71189799563336,29.258539583666305,1664.7035580974664,7520.697800446915,1
211003031,MAU,1,1.0,105.0,0.0345825,0.0075525,12021.2387398,119.36798858642578,13.515009880065918,,,263.5975583924083,96.848099226307,1774.0743997335599,7630.5810262218365,1
211003041,MAU,1,1.0,105.0,0.0345825,0.0075525,24531.1312855,114.28263092041016,7.664586067199707,,,111.80319481496133,287.4172113432018,1892.9908324480662,7746.20732413623,1
211003053,MAU,1,3.0,315.0,0.1037388,0.0226556,9492.06851602,109.86386108398438,5.723220348358154,,,87.70119019698261,400.49283884640306,1962.4263134134703,7809.276300914834,1
211003057,MAU,1,0.0,900.0,0.29639769,0.06473053,3515.50746857,107.2834243774414,4.616788864135742,,,184.4509244377977,530.1045312749653,1974.1272727206947,7796.050243871962,1
211003058,MAU,1,2.0,210.0,0.0691563,0.0151031,1504.79019261,107.2834243774414,3.663647413253784,,,127.81300803791397,589.319164211713,2017.0729074208348,7829.571794006979,1
211003059,MAU,1,2.0,210.0,0.0691563,0.0151031,3981.5178558,109.86386108398438,3.430760383605957,,,88.32194466560495,603.4894681802188,2069.6555065550615,7847.0871739704735,1
211003061,MAU,1,5.0,525.0,0.1728951,0.0377587,4097.51040231,109.86386108398438,3.6295392513275146,,,76.49944915292163,511.44063720497104,2040.8785652697097,7836.37352759178,1
211003068,MAU,1,3.0,315.0,0.1037388,0.0226556,2951.6541086,109.86386108398438,1.7219232320785522,,,24.221305703550925,601.7960040277753,2141.9771104472798,7746.135493312457,1
211003070,MAU,1,2.0,210.0,0.0691563,0.0151031,4488.89127392,105.92704010009766,2.6926615238189697,,,90.60203169030731,701.5940109257095,2151.3770262095654,7794.480209885432,1
211003072,MAU,1,3.0,315.0,0.1037388,0.0226556,4325.42126597,103.50093078613281,,,,75.73613853950944,682.6539167502971,2104.07499347812,7862.179077253062,1
211003073,MAU,1,2.0,210.0,0.0691563,0.0151031,4659.53405682,103.50093078613281,2.211019992828369,,,62.090485726277905,650.8872042024286,2061.513284457057,7863.339192056818,1
211003089,MAU,1,3.0,315.0,0.1037388,0.0226556,1942.5348201,107.2834243774414,3.9149630069732666,,,138.7838692088564,600.2395387615719,2040.2340740437735,7857.390794964694,1
211003090,MAU,1,0.0,900.0,0.29639769,0.06473053,1842.37146309,107.2834243774414,3.344282865524292,,,120.35861095872514,567.5647698045346,1971.923080121082,7776.62202161344,1
211003091,MAU,1,0.0,600.0,0.1976031,0.0431547,4089.9781596,107.2834243774414,3.9345171451568604,,,149.05456426970744,544.5657992682983,1962.226667420965,7773.252771359664,1
211004002,MAU,1,4.0,420.0,0.1383213,0.0302081,5816.47798596,141.24317932128906,47.50028610229492,,,534.9469442784201,275.7483647321087,315.3355238932226,5541.242280705289,1
211004004,MAU,1,0.0,900.0,0.29639769,0.06473053,16418.4734612,133.4487762451172,51.580596923828125,,,538.7402014130414,212.02911937236033,243.83247447085188,5613.020310815333,1
211004035,MAU,1,2.0,210.0,0.0691563,0.0151031,6732.49861326,145.27154541015625,48.304508209228516,,,706.9490885059432,288.05474245879657,212.91979826153036,5687.982875296781,1
