island,tmk,osds_qty,bedroom_qty,building_fp_qty,parcel_area_sqft,building_fp_total_area_sqft,net_parcel_area_sqft,dist_to_sma_ft,dist_to_coast_ft,dist_to_streams_ft,dist_to_dom_well_ft,dist_to_mun_well_ft,ksat_h,ksat_l,ksat_r,avg_rainfall_in,land_surface_elev_ft,wt_elev_ft,depth_to_wt_ft,slope_pct,lot_size_req,depth_to_wt_suitability,sma_constraints,climate_suitability,slope_req,in_flood_zone,in_sma,coast_within_100_ft,analysis_point_source
Maui,211003003,1,3,2,70924.72149325312,3445.443843382458,67479.27764987067,0.0,204.4463755866077,1266.5732107961562,24879.516192035662,5797.951250761178,20.076666666666668,6.546666666666667,13.333333333333334,106.08059692382812,7.29354527551651,,,2.190297842025757,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003006,1,2,2,32346.536954025294,2271.5443968475747,30074.99255717772,0.0,192.52177051590888,733.6881542244962,24480.48614998091,5339.682484341074,20.076666666666668,6.546666666666667,13.333333333333334,110.28770446777344,7.958199663085938,,,2.336784601211548,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003012,1,2,2,38854.5447072549,1777.0387653781504,37077.50594187675,0.0,274.2499196273445,696.8165163947901,24610.09256258505,5445.399151300888,20.076666666666668,6.546666666666667,13.333333333333334,110.28770446777344,13.798596167888642,,,3.301469564437866,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003030,1,3,1,12086.822565941908,661.6006421390501,11425.221923802857,0.0,1111.8699361056863,52.43131518057625,24755.356295094127,5529.67230375284,42.0,14.0,28.0,121.32959747314453,44.48673998897552,,,18.649988174438477,"Between 10,000 and 21,000 sqft",,Within 50 ft,Hydric,Slope greater than 12%,0,1,0,building_fp_largest_centroid
Maui,211003031,1,1,,129395.54517462809,,,0.0,868.2014182589207,317.9620094024245,25052.485676037573,5824.491418035727,42.0,14.0,28.0,121.32959747314453,42.75684418418884,,,22.219120025634766,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope greater than 12%,0,1,0,parcel_centroid
Maui,211003041,1,1,1,264050.9164767878,1617.0587041097479,262433.8577726781,0.0,214.3044158047311,1147.9275116237577,25620.149562047594,6407.989618634504,42.0,14.0,28.0,115.9679183959961,16.752599328632353,,,5.298568248748779,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,0,1,0,building_fp_largest_centroid
Maui,211003053,1,3,1,102171.78171474958,600.7273731981875,101571.0543415514,0.0,180.247135050009,1277.0422769441702,25704.897584002974,6498.911908160273,42.0,14.0,28.0,111.31391143798828,13.706252769470215,,,7.02720832824707,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,0,1,0,building_fp_largest_centroid
Maui,211003057,1,0,,37840.60988274948,,,0.0,610.3879059287207,1740.3893604766988,25595.767320964944,6481.293415712231,20.076666666666668,6.546666666666667,13.333333333333334,108.60228729248047,15.517566018543244,,,0.4429061710834503,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,0,1,0,parcel_centroid
Maui,211003058,1,2,2,16197.427865785276,9223.87729964379,6973.550566141486,0.0,396.3282559063665,1944.0715867450867,25700.544313059727,6621.613721369193,20.076666666666668,6.546666666666667,13.333333333333334,108.60228729248047,11.242450894899369,,,1.8782306909561157,"Between 10,000 and 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003059,1,2,2,42856.70426516755,2603.107003453918,40253.597261713636,0.0,310.005641685936,1977.2437105824963,25777.075154836544,6782.03721287205,42.0,14.0,28.0,108.60228729248047,11.074961055507659,,,1.707985520362854,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003061,1,5,1,44105.23772469987,2050.0902173341533,42055.14750736572,0.0,207.4647129164749,1693.2925902665168,25669.315917980264,6748.63221749855,42.0,14.0,28.0,108.60228729248047,9.792718049278259,,,2.853024482727051,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003068,1,3,1,31771.342439479686,2529.4070819986687,29241.935357481016,0.0,94.0942458581159,1962.329057156169,25432.08913472832,7025.94929215619,0.42,0.02,0.22,111.31391143798828,5.344294984378815,,,2.2146120071411133,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003070,1,2,1,48318.02663516144,3012.6482897590604,45305.37834540238,0.0,286.14968601375216,2323.25363068569,25592.619637968208,7070.139051405702,42.0,14.0,28.0,104.65341186523438,8.038022956848144,,,2.1136462688446045,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
Maui,211003072,1,3,1,46558.45000119104,778.7100495209495,45779.73995167009,0.0,353.80050835926596,2133.6394492064737,25836.432555883894,6831.483300647084,42.0,14.0,28.0,104.65341186523438,,,,,"Greater than 21,000 sqft",,Within 50 ft,Hydric,,1,1,0,building_fp_largest_centroid
Maui,211003073,1,2,3,50154.8103811485,5820.861590640226,44333.94879050827,0.0,204.01450837039945,2137.0006478896976,25818.707424996817,6769.630395050744,42.0,14.0,28.0,104.65341186523438,7.039792963209152,,,2.256030559539795,"Greater than 21,000 sqft",,Within 50 ft,Hydric,Slope less than 8%,1,1,0,building_fp_largest_centroid
