tmk,class_depth_to_wt,flag_depth_to_wt,class_lot_size,flag_lot_size,class_slope,flag_slope,flag_count,recommendation
211003003,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003006,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003012,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003030,Greater than 6 ft,0,"Between 10,000 and 21,000 sqft",0,Greater than 12%,1,1,ATU NSF 40
211003031,Greater than 6 ft,0,,,Greater than 12%,1,1,ATU NSF 40
211003041,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003053,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003057,Greater than 6 ft,0,,,Less than 8%,0,0,Standard Septic Tank
211003058,Greater than 6 ft,0,"Less than 10,000 sqft",1,Less than 8%,0,1,ATU NSF 40
211003059,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003061,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003068,Between 3 and 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003070,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003072,,,"Greater than 21,000 sqft",0,,,0,Standard Septic Tank
211003073,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003089,Greater than 6 ft,0,,,Less than 8%,0,0,Standard Septic Tank
211003090,Greater than 6 ft,0,"Between 10,000 and 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211003091,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211004002,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Greater than 12%,1,1,ATU NSF 40
211004004,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211004035,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Between 8 and 12%,0,0,Standard Septic Tank
211004039,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211005003,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211005004,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211005006,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211005007,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211005009,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
211005010,Greater than 6 ft,0,"Greater than 21,000 sqft",0,Less than 8%,0,0,Standard Septic Tank
